Date,DOW,Month,Title,Receipts,Zinz,Composer,Author
1789-04-14,Tue,Apr,Fra i due litiganti,15454,FALSE,Sarti,Goldoni
1789-04-20,Mon,Apr,Fra i due litiganti,6985,TRUE,Sarti,Goldoni
1789-04-22,Wed,Apr,Fra i due litiganti,4545,TRUE,Sarti,Goldoni
1789-04-24,Fri,Apr,Fra i due litiganti,5342,FALSE,Sarti,Goldoni
1789-04-26,Sun,Apr,Fra i due litiganti,5791,FALSE,Sarti,Goldoni
1789-04-28,Tue,Apr,Il turco in Italia,25139,TRUE,Seydelmann,Mazzolà
1789-04-30,Thu,Apr,Il turco in Italia,6897,FALSE,Seydelmann,Mazzolà
1789-05-02,Sat,May,Il turco in Italia,4268,TRUE,Seydelmann,Mazzolà
1789-05-04,Mon,May,Fra i due litiganti,2400,TRUE,Sarti,Goldoni
1789-05-06,Wed,May,Il turco in Italia,4515,FALSE,Seydelmann,Mazzolà
1789-05-08,Fri,May,Fra i due litiganti,4609,FALSE,Sarti,Goldoni
1789-05-10,Sun,May,Il turco in Italia,3130,FALSE,Seydelmann,Mazzolà
1789-05-12,Tue,May,I due suppositi conti,14905,TRUE,Cimarosa,Anelli
1789-05-14,Thu,May,Fra i due litiganti,2551,TRUE,Sarti,Goldoni
1789-05-16,Sat,May,I due suppositi conti,15532,FALSE,Cimarosa,Anelli
1789-05-18,Mon,May,I due suppositi conti,10451,TRUE,Cimarosa,Anelli
1789-05-20,Wed,May,Il turco in Italia,2863,FALSE,Seydelmann,Mazzolà
1789-05-22,Fri,May,Il turco in Italia,2794,FALSE,Seydelmann,Mazzolà
1789-05-24,Sun,May,Una cosa rara,14138,FALSE,Martín y Soler,Da Ponte
1789-05-26,Tue,May,I due suppositi conti,6430,TRUE,Cimarosa,Anelli
1789-05-28,Thu,May,Una cosa rara,8937,TRUE,Martín y Soler,Da Ponte
1789-05-30,Sat,May,Fra i due litiganti,2641,FALSE,Sarti,Goldoni
1789-06-02,Tue,Jun,Una cosa rara,11379,TRUE,Martín y Soler,Da Ponte
1789-06-04,Thu,Jun,I due suppositi conti,4982,FALSE,Cimarosa,Anelli
1789-06-06,Sat,Jun,Una cosa rara,8532,TRUE,Martín y Soler,Da Ponte
1789-06-08,Mon,Jun,Il turco in Italia,4362,FALSE,Seydelmann,Mazzolà
1789-06-10,Wed,Jun,I due suppositi conti,4778,TRUE,Cimarosa,Anelli
1789-06-13,Sat,Jun,Le gelosie fortunate,8849,FALSE,Anfossi,Livigni
1789-06-15,Mon,Jun,Le gelosie fortunate,6485,TRUE,Anfossi,Livigni
1789-06-17,Wed,Jun,Le gelosie fortunate,4757,TRUE,Anfossi,Livigni
1789-06-19,Fri,Jun,I due suppositi conti,2620,FALSE,Cimarosa,Anelli
1789-06-21,Sun,Jun,Le gelosie fortunate,3720,FALSE,Anfossi,Livigni
1789-06-23,Tue,Jun,Una cosa rara,9646,FALSE,Martín y Soler,Da Ponte
1789-06-27,Sat,Jun,L'arbore di Diana,24655,FALSE,Martín y Soler,Da Ponte
1789-06-29,Mon,Jun,L'arbore di Diana,28869,FALSE,Martín y Soler,Da Ponte
1789-07-01,Wed,Jul,L'arbore di Diana,16388,FALSE,Martín y Soler,Da Ponte
1789-07-03,Fri,Jul,Il turco in Italia,5232,FALSE,Seydelmann,Mazzolà
1789-07-05,Sun,Jul,L'arbore di Diana,9814,FALSE,Martín y Soler,Da Ponte
1789-07-07,Tue,Jul,I due suppositi conti,4728,FALSE,Cimarosa,Anelli
1789-07-09,Thu,Jul,Il turco in Italia,1986,FALSE,Seydelmann,Mazzolà
1789-07-11,Sat,Jul,L'arbore di Diana,10614,TRUE,Martín y Soler,Da Ponte
1789-07-13,Mon,Jul,I due suppositi conti,2452,FALSE,Cimarosa,Anelli
1789-07-15,Wed,Jul,Il falegname,18073,TRUE,Cimarosa,Da Ponte
1789-07-17,Fri,Jul,Il falegname,5898,TRUE,Cimarosa,Da Ponte
1789-07-19,Sun,Jul,Il falegname,13417,TRUE,Cimarosa,Da Ponte
1789-07-21,Tue,Jul,L'arbore di Diana,13721,TRUE,Martín y Soler,Da Ponte
1789-07-23,Thu,Jul,Il falegname,6712,TRUE,Cimarosa,Da Ponte
1789-07-25,Sat,Jul,Il falegname,3066,FALSE,Cimarosa,Da Ponte
1789-07-27,Mon,Jul,Una cosa rara,16124,TRUE,Martín y Soler,Da Ponte
1789-07-29,Wed,Jul,Una cosa rara,9636,TRUE,Martín y Soler,Da Ponte
1789-07-31,Fri,Jul,L'arbore di Diana,10678,TRUE,Martín y Soler,Da Ponte
1789-08-02,Sun,Aug,Una cosa rara,12897,TRUE,Martín y Soler,Da Ponte
1789-08-04,Tue,Aug,Il falegname,4199,TRUE,Cimarosa,Da Ponte
1789-08-06,Thu,Aug,L'arbore di Diana,8722,TRUE,Martín y Soler,Da Ponte
1789-08-08,Sat,Aug,Il falegname,2926,FALSE,Cimarosa,Da Ponte
1789-08-10,Mon,Aug,Una cosa rara,6071,TRUE,Martín y Soler,Da Ponte
1789-08-12,Wed,Aug,L'arbore di Diana,8664,TRUE,Martín y Soler,Da Ponte
1789-08-19,Wed,Aug,L'arbore di Diana,7513,TRUE,Martín y Soler,Da Ponte
1789-08-21,Fri,Aug,I due suppositi conti,3134,TRUE,Cimarosa,Anelli
1789-08-23,Sun,Aug,L'arbore di Diana,16054,FALSE,Martín y Soler,Da Ponte
1789-08-25,Tue,Aug,I due suppositi conti,5579,TRUE,Cimarosa,Anelli
1789-08-27,Thu,Aug,L'arbore di Diana,9325,TRUE,Martín y Soler,Da Ponte
1789-08-29,Sat,Aug,Le nozze di Figaro,22609,TRUE,Mozart,Da Ponte
1789-08-31,Mon,Aug,Le nozze di Figaro,14754,TRUE,Mozart,Da Ponte
1789-09-02,Wed,Sep,Le nozze di Figaro,12728,TRUE,Mozart,Da Ponte
1789-09-04,Fri,Sep,I due suppositi conti,2353,FALSE,Cimarosa,Anelli
1789-09-06,Sun,Sep,I due baroni,10177,TRUE,Cimarosa,Palomba
1789-09-09,Wed,Sep,L'arbore di Diana,10461,TRUE,Martín y Soler,Da Ponte
1789-09-11,Fri,Sep,Le nozze di Figaro,10589,TRUE,Mozart,Da Ponte
1789-09-13,Sun,Sep,I due baroni,5480,FALSE,Cimarosa,Palomba
1789-09-15,Tue,Sep,Una cosa rara,27630,TRUE,Martín y Soler,Da Ponte
1789-09-17,Thu,Sep,Una cosa rara,12115,TRUE,Martín y Soler,Da Ponte
1789-09-19,Sat,Sep,Le nozze di Figaro,13329,TRUE,Mozart,Da Ponte
1789-09-21,Mon,Sep,Il falegname,5484,TRUE,Cimarosa,Da Ponte
1789-09-23,Wed,Sep,"Axur, re d'Ormus",27540,TRUE,Salieri,Da Ponte
1789-09-25,Fri,Sep,"Axur, re d'Ormus",12964,TRUE,Salieri,Da Ponte
1789-09-27,Sun,Sep,"Axur, re d'Ormus",16587,TRUE,Salieri,Da Ponte
1789-09-29,Tue,Sep,L'arbore di Diana,7197,TRUE,Martín y Soler,Da Ponte
1789-10-01,Thu,Oct,Il falegname,4042,FALSE,Cimarosa,Da Ponte
1789-10-03,Sat,Oct,Le nozze di Figaro,14116,FALSE,Mozart,Da Ponte
1789-10-05,Mon,Oct,Una cosa rara,9436,TRUE,Martín y Soler,Da Ponte
1789-10-07,Wed,Oct,"Axur, re d'Ormus",11621,TRUE,Salieri,Da Ponte
1789-10-09,Fri,Oct,Le nozze di Figaro,10932,TRUE,Mozart,Da Ponte
1789-10-11,Sun,Oct,I due suppositi conti,8192,TRUE,Cimarosa,Anelli
1789-10-13,Tue,Oct,"Axur, re d'Ormus",10385,TRUE,Salieri,Da Ponte
1789-10-16,Fri,Oct,I due suppositi conti,4817,TRUE,Cimarosa,Anelli
1789-10-18,Sun,Oct,Il pastor fido,22722,TRUE,Salieri,Da Ponte
1789-10-20,Tue,Oct,Il falegname,5690,TRUE,Cimarosa,Da Ponte
1789-10-22,Thu,Oct,Il falegname,4989,TRUE,Cimarosa,Da Ponte
1789-10-24,Sat,Oct,Le nozze di Figaro,12593,FALSE,Mozart,Da Ponte
1789-10-26,Mon,Oct,Il pastor fido,7528,TRUE,Salieri,Da Ponte
1789-10-28,Wed,Oct,"Axur, re d'Ormus",11638,TRUE,Salieri,Da Ponte
1789-10-30,Fri,Oct,L'arbore di Diana,14090,TRUE,Martín y Soler,Da Ponte
1789-11-01,Sun,Nov,Il pastor fido,12363,TRUE,Salieri,Da Ponte
